Track
x: -157, y: 1095, z: 4097
x: -221, y: 1195, z: 4097
x: -262, y: 1262, z: 4097
x: -300, y: 1321, z: 4097
x: -333, y: 1374, z: 4097
x: -368, y: 1430, z: 4097
x: -404, y: 1488, z: 4097
x: -438, y: 1543, z: 4097
x: -474, y: 1601, z: 4097
x: -516, y: 1667, z: 4097
x: -552, y: 1724, z: 4097
x: -591, y: 1788, z: 4097
x: -651, y: 1883, z: 4097
x: -684, y: 1937, z: 4097
x: -717, y: 1990, z: 4097
x: -785, y: 2099, z: 4097
x: -826, y: 2164, z: 4097
x: -859, y: 2217, z: 4097
x: -911, y: 2300, z: 4097
x: -979, y: 2409, z: 4097
x: -1026, y: 2484, z: 4097
x: -1080, y: 2570, z: 4097
x: -1121, y: 2637, z: 4097
x: -1169, y: 2713, z: 4097
x: -1218, y: 2792, z: 4097
x: -1339, y: 2986, z: 4097
x: -1379, y: 3050, z: 4097
x: -1427, y: 3126, z: 4097
x: -1459, y: 3178, z: 4097
x: -1506, y: 3253, z: 4097
x: -1557, y: 3335, z: 4097
x: -1614, y: 3424, z: 4097
x: -1667, y: 3507, z: 4097
x: -1705, y: 3566, z: 4097
x: -1761, y: 3656, z: 4097
x: -1794, y: 3709, z: 4097
x: -1829, y: 3767, z: 4097
x: -1876, y: 3847, z: 4097
x: -1913, y: 3919, z: 4097
x: -1941, y: 3992, z: 4097
x: -1953, y: 4051, z: 4097
x: -1954, y: 4104, z: 4097
x: -1939, y: 4168, z: 4097
x: -1904, y: 4223, z: 4097
x: -1852, y: 4262, z: 4097

